RCP_SNO,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4
128671,어묵김말이,skfo0701,꽃날,9592,6,66,튀김,간식,가공식품류,디저트,어묵,김밥용김,당면,양파
131871,현미호두죽,cds1117,햇님&별님,2912,0,9,끓이기,일상,쌀,밥/죽/떡,현미,찹쌀,호두,물
139247,북어갈비,skfo0701,꽃날,6865,3,97,굽기,술안주,건어물류,메인반찬,북어포,찹쌀가루,설탕,물
149207,토마토스파게티,skfo0701,꽃날,12754,2,36,볶음,일상,가공식품류,면/만두,파스타면,토마토 페이스트,양파,다진마늘
151148,표고버섯탕수,skfo0701,꽃날,16053,2,194,튀김,손님접대,버섯류,메인반찬,건표고버섯,오이,당근,양파
153040,갈릭치킨,skfo0701,꽃날,8148,0,38,튀김,손님접대,닭고기,메인반찬,닭,다진마늘,화이트와인,올리브유
221094,양파링튀김,skfo0701,박꽃나래,17660,14,242,튀김,간식,채소류,디저트,양파,빵가루,계란,밀가루
221097,참치삼각김밥,skfo0701,박꽃나래,48896,8,351,기타,도시락,가공식품류,밥/죽/떡,밥,참치캔 큰거,양파,다진김치
221098,뚝배기해물떡볶이,skfo0701,박꽃나래,15714,8,37,볶음,술안주,해물류,밥/죽/떡,떡볶이떡,당근,파,양파
221101,스팸샌드위치,skfo0701,박꽃나래,29293,10,98,기타,도시락,밀가루,빵,스팸 싱글,샌드위치용 식빵,토마토,상추
221102,참치깻잎주먹밥,skfo0701,박꽃나래,30913,16,254,기타,도시락,채소류,밥/죽/떡,밥,깻잎,참치 작은캔,당근
223583,새우볶음밥고로케,skfo0701,박꽃나래,27167,19,912,튀김,도시락,해물류,빵,새우,밥,김치,당근
223584,스팸쌈밥,skfo0701,박꽃나래,17889,5,100,기타,도시락,가공식품류,밥/죽/떡,밥,상추,스팸,참기름
225141,베이컨김치말이밥,skfo0701,박꽃나래,66460,53,2986,기타,도시락,가공식품류,밥/죽/떡,밥,김치,베이컨 적당량,깻잎
225146,스팸오이식빵롤,skfo0701,박꽃나래,36994,39,1006,굽기,도시락,밀가루,빵,식빵,스팸,오이,머스터드
331003,고구마치즈스틱,skfo0701,박꽃나래,16188,17,185,튀김,간식,채소류,디저트,고구마,모차렐라치즈,버터,밀가루
331006,오징어볶음우동,skfo0701,박꽃나래,25124,8,95,볶음,일상,해물류,면/만두,오징어,양파,대파,당근
333866,호두가래떡구이,skfo0701,박꽃나래,8513,4,88,굽기,영양식,콩/견과류,디저트,가래떡,호두,꿀,
333869,카레새우삼각김밥,skfo0701,박꽃나래,11266,4,70,기타,도시락,해물류,밥/죽/떡,새우,양파,김치,밥지을쌀
340534,블루베리쨈,skfo0701,박꽃나래,13783,2,76,조림,간식,과일류,양념/소스/잼,블루베리,설탕,레몬즙,럼
340537,미니새우버거,skfo0701,박꽃나래,6428,5,81,굽기,일상,해물류,빵,모닝빵,새우,상추,토마토
343935,고구마그라탕,okwn7,센,7297,1,42,굽기,일상,채소류,양식,고구마,생크림,설탕,버터
344698,밤식빵,okwn7,센,6664,5,65,굽기,간식,밀가루,빵,쌀가루,계란,우유,인스턴트 드라이 이스트
345834,고구마보트,okwn7,센,4039,0,12,굽기,간식,채소류,디저트,고구마,생크림,버터,커스타드크림
346652,감자스프,skfo0701,박꽃나래,9662,3,76,끓이기,일상,채소류,스프,감자,생크림,우유,양파
346665,뚝배기라면,skfo0701,박꽃나래,36944,14,148,끓이기,야식,가공식품류,면/만두,라면,김치,굴,파
347791,포테이토스킨,okwn7,센,7546,5,108,굽기,간식,채소류,디저트,감자,올리브유 약간,베이컨,모짜렐라치즈
349330,오코노미야키,skfo0701,박꽃나래,17312,6,219,부침,술안주,육류,메인반찬,양배추,숙주,오징어,새우
349332,야끼만두,skfo0701,박꽃나래,23831,4,259,튀김,간식,밀가루,면/만두,당면,부추,만두피,물엿 또는 설탕
349381,두부조림,okwn7,센,17057,9,43,조림,일상,콩/견과류,밑반찬,손두부,포도씨유,소금 약간,꽈리고추
349386,매운갈비찜,okwn7,센,9561,4,26,찜,일상,육류,메인반찬,갈비,월계수잎,통마늘,후춧가루
349740,어묵볶음,okwn7,센,18559,10,30,볶음,일상,가공식품류,밑반찬,어묵,포도씨유 적당량,꽈리고추,양파
352364,꼬마김밥,skfo0701,박꽃나래,26484,8,81,기타,도시락,쌀,밥/죽/떡,밥,어묵,오이,햄
352415,홍시아이스크림,okwn7,센,4345,0,27,기타,간식,과일류,디저트,홍시,생크림,레몬즙,
357068,단호박사블레,okwn7,센,1807,1,19,굽기,간식,밀가루,과자,박력분,단호박가루,버터,슈가파우더
358881,뮈슬리초코칩쿠키,okwn7,센,2879,4,24,굽기,간식,밀가루,과자,박력분,버터,베이킹 파우더,베이킹 소다
369072,아몬드타르트,llkissl,김민지,3597,2,29,굽기,간식,콩/견과류,과자,버터,박력분,소금,설탕
369918,홍시요거트,okwn7,센,2971,4,28,기타,간식,달걀/유제품,차/음료/술,홍시 큰것,레몬즙,플레인 요거트,
373342,파네토네,okwn7,센,8632,3,39,굽기,일상,밀가루,빵,강력분,우유,인스턴드 드라이 이스트,소금
374689,소고기크림치즈오븐스파게티,truelies11,June ,7853,0,21,볶음,일상,밀가루,면/만두,배추김치,소고기,치즈,국수
375800,돼지고기김치찌개,truelies11,June ,24435,16,117,끓이기,일상,돼지고기,찌개,돼지고기,감자,양파,두부
380671,밤머핀,okwn7,센,2008,1,17,굽기,간식,밀가루,빵,박력분,버터,설탕,밤페이스트
380726,찜닭,okwn7,센,15585,9,98,찜,손님접대,닭고기,메인반찬,닭,청양고추,건고추,양파
380934,바나나프렌치토스트,truelies11,June ,23657,10,15,굽기,간식,밀가루,빵,브리오슈슬라이스,바나나,계란,우유
381157,단호박해물치즈구이,okwn7,센,16814,15,254,굽기,손님접대,해물류,디저트,단호박,낙지,모듬해물,새우
383305,파스타,truelies11,June ,14078,3,15,볶음,일상,밀가루,면/만두,앤젤헤어 파스타,명란,마늘,우메보시
383788,갸토쇼콜라,maengi0804,메기맹이,1891,0,9,굽기,손님접대,밀가루,빵,박력분,코코아가루,초콜릿,버터
384426,바질페스토,okwn7,센,64019,5,268,기타,초스피드,채소류,양념/소스/잼,바질잎,통마늘,잣,올리브오일
384503,포카치아,okwn7,센,2904,1,15,굽기,간식,밀가루,빵,강력분,설탕,소금,몰트
384505,흑미와플,okwn7,센,1802,2,14,굽기,간식,밀가루,빵,흑미가루,계란,설탕,소금
384508,쏘야볶음,okwn7,센,18595,11,171,볶음,술안주,가공식품류,메인반찬,햄,파프리카,양파,당근
384888,튜나에그샌드위치,okwn7,센,19088,9,120,기타,간식,밀가루,빵,식빵,양상추,슬라이스햄,토마토
385575,푸딩,okwn7,센,82794,19,597,기타,간식,달걀/유제품,디저트,우유,설탕,계란,바닐라오일
385717,오븐웨지감자,okwn7,센,53082,8,289,굽기,일상,채소류,디저트,감자,소금,후춧가루,파슬리가루
387111,대추스콘,okwn7,센,3304,0,10,굽기,간식,밀가루,빵,강력분,박력분,설탕,소금
387126,짜장떡볶이,okwn7,센,26187,15,332,볶음,간식,쌀,밥/죽/떡,떡볶이떡,양파,양배추,대파
387415,바나나찹쌀떡,okwn7,센,6997,7,103,찜,간식,쌀,밥/죽/떡,찹쌀가루,찬물,바나나,옥수수전분
387766,카레어묵전골,skfo0701,박꽃나래,5743,5,20,끓이기,손님접대,가공식품류,국/탕,어묵,팽이버섯,쑥갓,당근
387780,모카머핀,skfo0701,박꽃나래,6992,4,150,굽기,간식,밀가루,빵,박력분,버터,설탕,베이킹파우더
387790,버섯포카치아,skfo0701,박꽃나래,2680,1,10,굽기,간식,밀가루,빵,박력분,물,표고버섯,이스트
387802,어묵,skfo0701,박꽃나래,11106,11,57,끓이기,술안주,가공식품류,메인반찬,어묵,양배추,파,양파
387811,크림소스,skfo0701,박꽃나래,4020,2,19,끓이기,손님접대,해물류,양념/소스/잼,홍합,베이컨,양파,파프리카
388157,파니니,okwn7,센,2699,1,37,굽기,간식,밀가루,빵,강력분,몰트,드라이이스트,카놀라유 라이트
388168,파니니,okwn7,센,7421,4,23,굽기,일상,밀가루,빵,파니니,불고기,닭가슴살,양상추
389261,리코타치즈,okwn7,센,26042,7,585,끓이기,간식,달걀/유제품,양념/소스/잼,우유,생크림,소금,
390307,레몬생크림케이크,okwn7,센,2836,0,21,굽기,간식,밀가루,빵,생크림,박력분,설탕,베이킹파우더
390949,시나몬큐브,okwn7,센,2343,3,49,굽기,간식,밀가루,빵,박력분,버터,바닐라오일,아몬드파우더
390973,초코바나나머핀,okwn7,센,2981,1,39,굽기,간식,밀가루,빵,바나나,버터,설탕,
391763,애호박사워크림케이크,okwn7,센,1942,0,9,굽기,간식,밀가루,빵,박력분,버터,계란,설탕
393505,브라우니,okwn7,센,4319,3,44,굽기,간식,밀가루,빵,다크커버춰,버터,박력분,코코아
395162,피낭시에,okwn7,센,2665,2,20,굽기,간식,쌀,빵,백미가루,아몬드가루,슈가파우더,베이킹 파우더
396244,뮈슬리바,okwn7,센,2697,3,30,끓이기,간식,곡류,디저트,뮈슬리,버터,요리당,꿀
398391,그린티현미쉬폰,okwn7,센,1500,2,16,굽기,간식,밀가루,빵,현미가루,노른자,설탕,우유 또는 물
398430,카레,okwn7,센,2074,2,2,끓이기,일상,소고기,양념/소스/잼,돼지고기,당근,감자,파프리카
398436,불닭퀘사디아,okwn7,센,4739,1,45,굽기,간식,닭고기,빵,닭가슴살,홍피망,청피망,양파
400622,계란빵,okwn7,센,15252,13,110,굽기,간식,달걀/유제품,빵,핫케이크가루,우유,치즈,파슬리가루
411750,얼큰수제비,okwn7,센,17779,11,134,끓이기,일상,밀가루,면/만두,중력분,찬물,올리브유,소금
413285,시나몬롤,okwn7,센,2416,2,12,굽기,간식,밀가루,빵,통밀브레드믹스,우유,카놀라유,버터
413979,오이무침,young4652,물향기,42841,26,384,무침,일상,채소류,밑반찬,오이,대파,마늘,고추장
414073,식빵꽃,alsruddk66,밀키,2894,4,39,굽기,간식,밀가루,빵,강력분,박력분,우유,물
414094,쇼콜라케이크,alsruddk66,밀키,4316,3,39,굽기,간식,밀가루,빵,초콜렛,버터,박력분,코코아파우더
414203,전자렌지딸기찹쌀떡,alsruddk66,밀키,9937,8,145,기타,간식,쌀,밥/죽/떡,딸기,녹말가루,팥소,찹쌀가루
414255,닭고기샌드위치,alsruddk66,밀키,4445,2,31,굽기,도시락,닭고기,빵,닭,베이비채소,파프리카,식빵
414263,깻잎떡볶이,alsruddk66,밀키,6338,3,39,볶음,간식,쌀,밥/죽/떡,떡볶이떡,어묵,양파,양배추 조금
414319,연어또띠아말이,alsruddk66,밀키,7355,2,74,기타,도시락,해물류,디저트,또띠아,훈제연어,양파,오이
414544,김치볶음밥,okwn7,센,17315,18,46,볶음,일상,쌀,밥/죽/떡,밥,김치,어묵,계란
415008,바나나머핀,alsruddk66,밀키,2542,3,17,굽기,간식,밀가루,빵,바나나 작은것,버터,박력분,설탕
420314,모밀국수,alsruddk66,밀키,14343,4,107,끓이기,일상,쌀,면/만두,다시마,가다랑이포,모밀면,김
420422,토마토카프레제샐러드,wine59,김미경,64059,14,1690,기타,일상,채소류,샐러드,토마토,바질,치즈,양파
420425,오징어청양고추조림,wine59,김미경,7554,4,41,조림,일상,해물류,밑반찬,오징어,고추,다시마,통마늘
421146,카야쨈호떡,wine59,김미경,6270,7,43,굽기,간식,밀가루,빵,호떡믹스,카야잼,피칸,
421183,초콜렛치즈머핀,okwn7,센,2463,0,23,굽기,간식,밀가루,빵,초코머핀믹스,카놀라유,계란,
421940,샐러드오므라이스,wine59,김미경,2285,1,3,볶음,일상,채소류,밥/죽/떡,밥,양파,닭,계란
421942,어묵볶음,wine59,김미경,24211,43,22,볶음,일상,가공식품류,밑반찬,어묵,돼지호박,풋고추,홍고추
423378,두부치즈케익,alsruddk66,밀키,9297,3,110,굽기,간식,밀가루,빵,두부,치즈,생크림,다이제쿠키
424008,라볶이,okwn7,센,93472,26,333,끓이기,간식,가공식품류,밥/죽/떡,멸치,다시마,말린표고버섯,물
500753,깡장,wine59,마이드림,20191,35,75,끓이기,일상,채소류,양념/소스/잼,돼지고기,오징어,양파 큰것,홍고추
501958,밤조림,okwn7,센,8301,4,47,조림,일상,콩/견과류,밑반찬,밤,중조,럼주나 브랜디,소금 약간
502713,티라미수컵케익,wine59,마이드림,7767,4,73,기타,간식,밀가루,빵,마스카포네,플레인요구르트,설탕,레몬즙
503870,크로켓,okwn7,센,5054,1,24,굽기,다이어트,콩/견과류,빵,디츠다짐,두부,야채,녹말가루
